Frame_41.png -96,18237 -307,5573 -336,8788 0,606348 0,05629182 2,841906
Frame_42.png -95,26716 -307,7753 -337,1771 0,6069698 0,05586614 2,844963
Frame_43.png -94,36182 -307,9918 -337,4715 0,6075851 0,05544655 2,847985
Frame_44.png -93,50776 -308,2086 -337,7475 0,6081576 0,05505822 2,850834
Frame_45.png -92,66926 -308,4189 -338,0184 0,6087228 0,05467724 2,853627
Frame_46.png -91,70798 -308,6567 -338,3291 0,6093742 0,05424011 2,856828
Frame_47.png -90,89553 -308,8708 -338,5897 0,6099179 0,05387819 2,859529
Frame_48.png -90,08538 -309,088 -338,8487 0,6104588 0,0535208 2,862221
Frame_49.png -89,28667 -309,2997 -339,1042 0,6109948 0,05316814 2,864873
Frame_50.png -88,48973 -309,5086 -339,3591 0,6115323 0,05281613 2,867516
Frame_51.png -87,75845 -309,7197 -339,5903 0,612017 0,05250476 2,86994
Frame_52.png -87,02775 -309,9316 -339,8209 0,6125022 0,05219526 2,872361
Frame_53.png -86,31313 -310,1367 -340,0465 0,6129781 0,0518926 2,874724
Frame_54.png -85,58796 -310,343 -340,2755 0,6134639 0,051585 2,877123
Frame_55.png -84,9156 -310,5504 -340,4854 0,6139079 0,05131065 2,879342
Frame_56.png -84,25832 -310,7615 -340,6893 0,6143402 0,05104679 2,881511
Frame_57.png -83,60528 -310,9693 -340,892 0,614771 0,05078492 2,883663
Frame_58.png -82,95901 -311,1735 -341,0925 0,6151986 0,05052598 2,88579
Frame_59.png -82,31152 -311,3795 -341,2931 0,6156284 0,05026789 2,887921
Frame_60.png -81,73893 -311,5907 -341,4664 0,6159999 0,05005831 2,889803
Frame_61.png -81,15578 -311,8044 -341,6429 0,6163794 0,04984404 2,891718
Frame_62.png -80,58047 -312,0139 -341,8171 0,6167552 0,04963297 2,893606
Frame_63.png -80,01078 -312,2201 -341,9895 0,6171289 0,04942384 2,895474
Frame_64.png -79,43974 -312,4252 -342,1625 0,6175038 0,04921407 2,897342
Frame_65.png -78,77746 -312,6968 -342,3582 0,6179321 0,04899273 2,899508
Frame_66.png -78,28185 -312,9161 -342,5023 0,6182501 0,04883746 2,901127
Frame_67.png -77,8022 -313,1272 -342,6418 0,6185584 0,04868673 2,902691
Frame_68.png -77,31814 -313,3392 -342,7827 0,61887 0,04853501 2,904268
Frame_69.png -76,82631 -313,5537 -342,9257 0,6191877 0,04838157 2,90587
Frame_70.png -76,3404 -313,7646 -343,0671 0,619502 0,04822943 2,907449
Frame_71.png -75,88567 -313,9782 -343,1971 0,6197943 0,04809813 2,908926
Frame_72.png -75,50365 -314,2022 -343,2998 0,6200337 0,04801579 2,910165
Frame_73.png -75,12479 -314,4233 -343,4018 0,6202713 0,04793509 2,911391
Frame_74.png -74,74522 -314,6444 -343,5038 0,6205095 0,04785443 2,912618
Frame_75.png -74,34968 -314,8739 -343,6103 0,6207582 0,04776987 2,913896
Frame_76.png -73,96339 -315,0974 -343,7143 0,6210017 0,04768765 2,915143
Frame_77.png -73,55198 -315,3343 -343,825 0,6212602 0,04759982 2,916467
Frame_78.png -73,10494 -315,591 -343,9453 0,6215429 0,04750476 2,917906
Frame_79.png -72,73521 -315,8264 -344,0413 0,6217753 0,04744262 2,919094
Frame_80.png -72,68624 -316,1271 -344,0137 0,6217891 0,0476221 2,919233
Frame_81.png -72,6372 -316,4264 -343,9862 0,6218027 0,04780042 2,919371
Frame_82.png -72,58711 -316,7324 -343,958 0,6218168 0,04798285 2,919514
Frame_83.png -72,53704 -317,0369 -343,9299 0,6218314 0,04816441 2,919658
Frame_84.png -72,4892 -317,3283 -343,903 0,6218448 0,04833785 2,919792
Frame_85.png -72,44209 -317,614 -343,8766 0,6218582 0,04850818 2,919926
Frame_86.png -72,39499 -317,8983 -343,8503 0,6218705 0,04867788 2,920056
Frame_87.png -72,3447 -318,2024 -343,8221 0,6218849 0,04885918 2,920199
Frame_88.png -72,29815 -318,4835 -343,7959 0,621898 0,04902628 2,92033
Frame_89.png -72,25132 -318,7656 -343,7696 0,6219109 0,04919471 2,920462
Frame_90.png -72,20408 -319,049 -343,7431 0,6219233 0,04936368 2,920592
Frame_91.png -72,15678 -319,3327 -343,7166 0,6219363 0,04953361 2,920724
Frame_92.png -72,10921 -319,6172 -343,69 0,6219496 0,04970313 2,920857
Frame_93.png -72,0609 -319,9058 -343,6629 0,6219623 0,04987497 2,92099
Frame_94.png -72,01324 -320,1904 -343,6362 0,6219754 0,05004474 2,921124
Frame_95.png -71,96533 -320,4751 -343,6095 0,6219883 0,05021498 2,921256
Frame_96.png -71,90945 -320,8071 -343,5782 0,6220025 0,05041357 2,921408
Frame_97.png -71,85937 -321,1048 -343,5501 0,6220167 0,05059079 2,921549
