Frame_33.png -101,1212 -306,4054 -335,2607 0,6029873 0,05862188 2,825362
Frame_34.png -100,0998 -306,6363 -335,5971 0,6036875 0,05813381 2,828789
Frame_35.png -98,88219 -306,9211 -335,9963 0,6045141 0,05755819 2,832872
Frame_36.png -97,89369 -307,1482 -336,3206 0,6051896 0,05709013 2,836182
Frame_37.png -96,94797 -307,3723 -336,6295 0,6058307 0,05664754 2,839345
Frame_38.png -95,81279 -307,6456 -336,9993 0,6065981 0,05611959 2,843139
Frame_39.png -94,88896 -307,8644 -337,3003 0,6072271 0,05569008 2,846225
Frame_40.png -94,00419 -308,0829 -337,587 0,6078245 0,05528444 2,849178
Frame_41.png -92,91954 -308,3564 -337,9376 0,6085539 0,05479104 2,852793
Frame_42.png -92,05446 -308,5714 -338,2172 0,6091388 0,05439787 2,855674
Frame_43.png -91,20627 -308,7869 -338,4903 0,6097109 0,05401558 2,858496
Frame_44.png -90,23299 -309,0486 -338,8016 0,6103601 0,05358569 2,861731
Frame_45.png -89,40226 -309,2693 -339,0673 0,6109174 0,05321916 2,86449
Frame_46.png -88,61398 -309,4762 -339,3194 0,6114485 0,05287141 2,867104
Frame_47.png -87,7039 -309,7356 -339,6075 0,6120531 0,0524818 2,87012
Frame_48.png -86,94737 -309,9548 -339,8463 0,6125556 0,05216094 2,872627
Frame_49.png -86,21805 -310,1638 -340,0766 0,6130415 0,05185169 2,875037
Frame_50.png -85,32506 -310,418 -340,3583 0,6136395 0,05147402 2,877989
Frame_51.png -84,65878 -310,633 -340,5651 0,6140767 0,05120705 2,880189
Frame_52.png -84,00126 -310,8434 -340,769 0,6145093 0,05094358 2,882358
Frame_53.png -83,19533 -311,099 -341,0191 0,615042 0,0506208 2,885012
Frame_54.png -82,54286 -311,3042 -341,2217 0,6154754 0,05035958 2,887161
Frame_55.png -81,94385 -311,5153 -341,4044 0,6158668 0,05013329 2,88913
Frame_56.png -81,22586 -311,7788 -341,6217 0,6163343 0,04986959 2,891489
Frame_57.png -80,64864 -311,9891 -341,7964 0,6167107 0,04965783 2,893382
Frame_58.png -80,08355 -312,1938 -341,9675 0,6170812 0,04945089 2,895236
Frame_59.png -79,37557 -312,4482 -342,1819 0,617546 0,0491906 2,897553
Frame_60.png -78,86598 -312,6576 -342,3325 0,6178756 0,04902023 2,899219
Frame_61.png -78,31651 -312,9007 -342,4923 0,6182275 0,04884794 2,901012
Frame_62.png -77,71304 -313,1664 -342,6678 0,6186159 0,0486589 2,902982
Frame_63.png -77,22962 -313,378 -342,8084 0,6189272 0,04850734 2,904557
Frame_64.png -76,74963 -313,587 -342,9481 0,6192369 0,04835701 2,906118
Frame_65.png -76,14201 -313,8503 -343,1249 0,6196303 0,04816718 2,908093
Frame_66.png -75,71423 -314,0788 -343,2432 0,6199017 0,04806121 2,909482
Frame_67.png -75,3274 -314,3051 -343,3473 0,6201438 0,04797849 2,910734
Frame_68.png -74,83799 -314,5905 -343,4789 0,6204515 0,04787314 2,912319
Frame_69.png -74,43364 -314,8253 -343,5878 0,6207055 0,04778809 2,913626
Frame_70.png -74,04624 -315,0493 -343,6919 0,620949 0,04770539 2,914874
Frame_71.png -73,5631 -315,3279 -343,8221 0,6212537 0,04760167 2,916431
Frame_72.png -73,17649 -315,55 -343,9261 0,6214976 0,04751995 2,917676
Frame_73.png -72,78642 -315,7731 -344,0311 0,6217442 0,0474369 2,918929
Frame_74.png -72,68736 -316,1195 -344,0144 0,6217884 0,04761732 2,919228
Frame_75.png -72,64117 -316,402 -343,9884 0,6218018 0,04778591 2,91936
Frame_76.png -72,59499 -316,6842 -343,9625 0,6218151 0,04795414 2,919493
Frame_77.png -72,53514 -317,0492 -343,9287 0,6218323 0,04817104 2,919664
Frame_78.png -72,48858 -317,332 -343,9026 0,6218447 0,0483404 2,919793
Frame_79.png -72,44157 -317,6164 -343,8763 0,6218579 0,04850893 2,919926
Frame_80.png -72,38379 -317,9663 -343,8439 0,621874 0,04871853 2,920089
Frame_81.png -72,33669 -318,2504 -343,8175 0,6218871 0,04888795 2,920221
Frame_82.png -72,28936 -318,5359 -343,791 0,6219 0,04905754 2,920353
Frame_83.png -72,23035 -318,8914 -343,7579 0,6219164 0,04927037 2,920519
Frame_84.png -72,18288 -319,1761 -343,7313 0,6219294 0,04944 2,920652
Frame_85.png -72,13456 -319,4662 -343,7042 0,6219425 0,04961238 2,920786
Frame_86.png -72,07254 -319,8367 -343,6695 0,6219593 0,04983386 2,920959
Frame_87.png -72,02149 -320,1416 -343,6408 0,6219734 0,05001574 2,921102
Frame_88.png -71,97392 -320,4247 -343,6142 0,621986 0,05018445 2,921232
Frame_89.png -71,90821 -320,8147 -343,5775 0,6220036 0,05041739 2,921414
Frame_90.png -71,85896 -321,1069 -343,5499 0,622017 0,05059206 2,92155
Frame_91.png -71,81069 -321,3924 -343,5229 0,6220297 0,05076243 2,921683
Frame_92.png -71,7499 -321,7511 -343,489 0,6220459 0,05097688 2,92185
Frame_93.png -71,70179 -322,0352 -343,462 0,6220586 0,05114646 2,921982
Frame_94.png -71,65287 -322,3227 -343,4347 0,6220716 0,05131766 2,922117
Frame_95.png -71,59066 -322,6882 -343,3998 0,6220877 0,05153614 2,922285
Frame_96.png -71,54166 -322,9753 -343,3725 0,6221008 0,05170798 2,92242
Frame_97.png -71,49238 -323,2634 -343,3449 0,6221134 0,05187963 2,922553
Frame_98.png -71,43078 -323,6228 -343,3106 0,6221292 0,05209411 2,922719
Frame_99.png -71,38021 -323,9172 -343,2823 0,6221427 0,05227001 2,922858
